,productName,form,regularPrice,unitPrice,productURL,productSize,averageRating,reviewCount,inactiveIngredients
10,Women's Gummy Vitamins Berry,Gummies,$15.99,0.11,/store/c/vitafusion-women's-gummy-vitamins-berry/ID=prod6108350-product,150 ea ,4.5,1114,"Glucose Syrup,Sugar,Water,Gelatin,Less than 2% of: Blend of Oils with Beeswax and/or Carnauba WaxCoconut and/or Palm,Citric Acid,ColorsBlueberry and Carrot Concentrates ,Lycopene,Lactic Acid,and Natural Flavors"
11,Adult Triple Immune Support* Complete Multivitamin,Tablets,$11.99,0.12,/store/c/one-a-day-adult-triple-immune-support*-complete-multivitamin/ID=300417084-product,100 ea ,4.5,282,"Calcium Carbonate,Magnesium Oxide,Microcrystalline Cellulose,Ascorbic Acid,Croscarmellose Sodium,Zinc Oxide,dl-Alpha-Tocopheryl Acetate,Maltodextrin,Less than 2% of: Beta-Carotene,Biotin,Cholecalciferol,Chromium Chloride,Copper Sulfate,Cyanocobalamin,D-Calcium Pantothenate,FD&C Blue #1 Aluminum Lake,FD&C Blue #2 Aluminum Lake,Folic Acid,Gelatin,Hydroxypropyl Methylcellulose,Lycopene,Manganese Sulfate,Niacinamide,Phylloquinone,Polyethylene Glycol,Potassium Iodide,Pyridoxine Hydrochloride,Riboflavin,Silicon Dioxide,Sodium Molybdate,Sodium Selenite,Stearic Acid,Thiamine Mononitrate,Titanium Dioxide (color),Vitamin A Acetate."
12,"Advanced Hair, Skin, Nails Gummies",Gummies,$14.99,0.19,"/store/c/nature's-bounty-optimal-solutions-advanced-hair,-skin,-nails-gummies/ID=300402077-product",80 ea ,4.5,119,"Sugar,Corn Syrup,Dicalcium Phosphate,Gelatin,Contains Less Than 2% of: Citric Acid,Fruit and Vegetable Juice (color),Lactic Acid,Maltodextrin,Natural Strawberry Flavor,Pectin,Silica,Vegetable Oil (Palm) (Contains Carnauba Wax)"
13,"Women's Multivitamin Gummies, Dietary Supplement Raspberry",Gummies,$12.49,0.16,"/store/c/nature's-bounty-optimal-solutions-women's-multivitamin-gummies,-dietary-supplement-raspberry/ID=prod6281913-product",80 ea ,4.0,310,"Corn Syrup,Sugar,Geletin,Natural Flavors,Contains less than 2% of:  Citric acid,Pectin,Vegetable Juice (color),Vegetable Oil (Palm) (Contains Carnauba Wax)."
14,"Women's  Multivitamin Gummies Blue Raspberry, Cherry, Orange",Gummies,$11.99,0.15,"/store/c/one-a-day-vitacraves-women's--multivitamin-gummies-blue-raspberry,-cherry,-orange/ID=300416501-product",80 ea ,4.5,614,"Glucose Syrup,Sugar,Water,Gelatin,Tricalcium Phosphate,Ascorbic Acid,Carnauba Wax,Citric Acid,D-Biotin,D-Calcium Pantothenate,ColorBlack Currant ,Carrot ,Cherry ,Paprika Juice Concentrates,Folic Acid,Monk Fruit (Luo Han Guo) Extract,Natural Flavor,Niacinamide,Potassium Iodide,Pyridoxine Hydrochloride,vegetable oil (Palm),Vitamin A Acetate,Vitamin B12 (Cyanocobalamin),Vitamin D3 (Cholecalciferol),Vitamin E Acetate,Zinc Sulfate,Bees Wax,Lactic Acid"
15,Multivitamin For Her 50+ Tablets with No Iron,Tablets,$13.99,0.16,/store/c/nature-made-multivitamin-for-her-50--tablets-with-no-iron/ID=prod360159-product,90 ea ,4.5,320,"Cellulose Gel,Modified Food Starch,Maltodextrin,Croscarmellose Sodium,Hypromellose,Magnesium Stearate,Silicon Dioxide,Gelatin,Polyethylene Glycol"
16,One Daily Men's Multivitamin Tablets,Tablets,$7.99,0.08,/store/c/walgreens-one-daily-men's-multivitamin-tablets/ID=prod6253529-product,100 ea ,4.5,15,"Calcium Carbonate,Magnesium Oxide,Microcrystalline Cellulose,Sorbitol,Starch,Ascorbic Acid,Maltodextrin,Sodium Starch Glycolate,Contains 2% or Less of Ascorbyl Palmitate,Beta-Carotene,BHT,Biotin,Calcium Phosphate,Carboxymethylcellulose Sodium,Chromium Chloride,Cupric Oxide,Cyanocobalamin,D-Calcium Pantothenate,dl-Alpha Tocopherol,dl-Alpha Tocopheryl Acetate,DL-Tartaric Acid,Folic Acid,Gelatin,Glucose,Gum Arabic,Hydroxypropyl Methylcellulose,Lycopene,Magnesium Stearate,Manganese Sulfate,Medium Chain Triglycerides,Nicotinamide,Phytonadione,Polyvinyl Alcohol,Pyridoxine Hydrochloride,Retinyl Acetate,Riboflavin,Silicon Dioxide,Sodium Ascorbate,Sodium Benzoate,Sodium Selenite,Sorbic Acid,Sucrose,Sunflower Oil,Thiamine Mononitrate,Tocopherol,Zinc Oxide,May Contain Sodium Chloride,Stearic Acid,Triacetin,Cholecalciferol"
17,Adults Complete Multivitamin & Multimineral Supplement Tablets,Tablets,$22.99,0.11,/store/c/centrum-adults-complete-multivitamin-%26-multimineral-supplement-tablets/ID=prod6031127-product,200 ea ,4.5,368,"Calcium Carbonate,Potassium Chloride,Dibasic Calcium Phosphate,Magnesium Oxide,Microcrystalline Cellulose,Ascorbic Acid (Vit. C),Ferrous Fumarate,Dl-Alpha Tocopheryl Acetate (Vit. E),Maltodextrin,Contains <2% of: Beta-Carotene,Bht (To Preserve Freshness),Biotin,Calcium Pantothenate,Cholecalciferol (Vit. D3),Chromium Picolinate,Copper Sulfate,Corn Starch,Crospovidone,Cyanocobalamin (Vit. B12),Folic Acid,Gelatin,Magnesium Stearate,Manganese Sulfate,Modified Corn Starch,Niacinamide,Phytonadione (Vit. K),Polyethylene Glycol,Polyvinyl Alcohol,Potassium Iodide,Pyridoxine Hydrochloride (Vit. B6),Riboflavin (Vit. B2),Silicon Dioxide,Sodium Ascorbate (To Preserve Freshness),Sodium Molybdate,Sodium Selenate,Talc,Thiamine Mononitrate (Vit. B1),Titanium Dioxide,Tocopherols (To Preserve Freshness),Vitamin A Acetate,Yellow 6 Lake,Zinc Oxide"
18,Women's Multivitamin Tablets,Tablets,$15.99,9999999.0,/store/c/walgreens-women's-multivitamin-tablets/ID=prod6377787-product,200 ea ,4.0,20,"Calcium Carbonate,Magnesium Oxide,Potassium Chloride,Dicalcium Phosphate,Ascorbic Acid,Microcrystalline Cellulose,Ferrous Fumarate,Maltodextrin,dl-Alpha Tocopheryl Acetate,Contains 2% or less of beta-carotene,biotin,carboxymethylcellulose sodium,cholecalciferol,chromium picolinate,cupric sulfate,cyanocobalamin,D-calcium pantothenate,DL-tartaric acid,FD&C blue no. 2 lake,FD&C red no. 40 lake,FD&C yellow no. 6 lake,folic acid,hydroxypropyl methylcellulose,magnesium stearate,manganese sulfate,nicotinamide,phytonadione,polydextrose,polyethylene glycol,polyvinyl alcohol,potassium iodide,pyridoxine hydrochloride,retinyl acetate,riboflavin,silica,sodium metavanadate,sodium molybdate,sodium selenite,stannous chloride,starch,talc,thiamine mononitrate,titanium dioxide (color),tricalcium phosphate,zinc oxide"
19,Men's Health Formula Multivitamin,Tablets,$12.99,0.13,/store/c/one-a-day-men's-health-formula-multivitamin/ID=300418501-product,100 ea ,4.5,24,"Calcium Carbonate,Magnesium Oxide,Microcrystalline Cellulose,Ascorbic Acid,Maltodextrin,dl-alpha-tocopheryl acetane,Beta-Carotene,Biotin,Cholecalciferol,Chromium Chloride,copper sulfate,croscarmellose sodium,Cyanocobalamin,D-Calcium Pantothenate,Folic Acid,gelatin,Hydroxypropyl Methylcellulose,Inulin,Lycopene,Manganese Sulfate,Medium Chain Triglycerides,Niacinamide,Phylloquinone,polydextrose,polyvinylpolypyrrolidone,potassium iodide,Pyridoxine Hydrochloride,Riboflavin,Silicon Dioxide,Sodium Selenite,Stearic Acid,talc,Thiamine Mononitrate,Triacetin,Vitamin A Acetate,Zinc Oxide"
20,Theragran-M Multivitamin 50 Plus,na,$15.99,0.12,/store/c/theragran-theragran-m-multivitamin-50-plus/ID=prod6377777-product,130 ea ,4.5,330,"Calcium Carbonate,Dicalcium Phosphate,Magnesium Oxide,Potassium Chloride,Ascorbic Acid,dl-Alpha Tocopheryl Acetate,Gelatin,Microcrystalline Cellulose,Croscarmellose Sodium,Contains 2% or less of: beta-carotene,biotin,calcium silicate,carnauba wax,cholecalciferol,chromium chloride,coenzyme Q10,cupric oxide,cyanocobalamin,D-calcium pantothenate,dextrin,dextrose,FD&C blue no. 2 lake,FD&C red no. 40 lake,FD&C yellow no. 6 lake,folic acid,hydroxypropyl methylcellulose,lutein,lycopene,magnesium stearate,manganese sulfate,niacinamide,phytonadione,polyethylene glycol,potassium iodide,pyridoxine hydrochloride,retinyl acetate,riboflavin,sodium borate,sodium metavanadate,sodium molybdate,sodium selenate,stearic acid,thiamine mononitrate,titanium dioxide (color),zinc oxide,Contains: Soy"
21,Women's 50+ Multi-Vitamin Gummies Fruit,Gummies,$12.99,0.26,/store/c/alive!-women's-50--multi-vitamin-gummies-fruit/ID=prod6228514-product,60 ea ,4.5,230,"sugar,glucose syrup,purified water,pectin,citric acid,sodium citrate,natural flavors,vegetable and fruit juice colors,coconut oil,carnauba wax"
22,Men's Complete Multivitamin Tablets,Tablets,$21.99,0.11,/store/c/one-a-day-men's-complete-multivitamin-tablets/ID=prod6083374-product,200 ea ,4.5,189,"Calcium Carbonate,Magnesium Oxide,Microcrystalline Cellulose,Ascorbic Acid,Maltodextrin,dl-Alpha-Tocopheryl Acetate,Beta-Carotene,Biotin,Cholecalciferol,Chromium Chloride,Copper Sulfate,Croscarmellose Sodium,Cyanocobalamin,D-Calcium Pantothenate,Folic Acid,Gelatin,Hydroxypropyl Methylcellulose,Inulin,Lycopene,Manganese Sulfate,Medium Chain Triglycerides,Niacinamide,Phylloquinone,Polydextrose,Polyvinylpolypyrrolidone,Potassium Iodide,Pyridoxine Hydrochloride,Riboflavin,Silicon Dioxide,Sodium Selenite,Stearic Acid,Talc,Thiamine Mononitrate,Triacetin,Vitamin A Acetate,Zinc Oxide"
23,"Advanced, Skin and Nails Vitamins With Biotin, Gummies Strawberry",Gummies,$21.99,0.16,"/store/c/nature's-bounty-optimal-solutions-advanced,-skin-and-nails-vitamins-with-biotin,-gummies-strawberry/ID=300421749-product",140 ea ,4.0,28,"Corn Syrup,Sugar,Dicalcium Phosphate,Gelatin,Contains Less Than 2% of: Carnauba Wax,Citric Acid,Fruit and Vegetable Juice (color),Lactic Acid,Maltodextrin,Natural Strawberry Flavor,Pectin,Silica,Vegetable Oil (Palm)"
24,Women's Multivitamin,Tablets,$11.49,0.1,/store/c/walgreens-women's-multivitamin/ID=prod6358123-product,120 ea ,4.5,33,"Calcium Carbonate,Magnesium Oxide,Potassium Chloride,Dicalcium Phosphate,Ascorbic Acid,Microcrystalline Cellulose,Ferrous Fumarate,Maltodextrin,dl-Alpha Tocopheryl Acetate,Contains 2% or less of: beta-carotene,biotin,carboxymethylcellulose sodium,cholecalciferol,chromium picolinate,cupric sulfate,cyanocobalamin,D-calcium pantothenate,DL-tartaric acid,FD&C blue no. 2 lake,FD&C red no. 40 lake,FD&C yellow no. 6 lake,folic acid,hydroxypropyl methylcellulose,magnesium stearate,manganese sulfate,nicotinamide,phytonadione,polydextrose,polyethylene glycol,polyvinyl alcohol,potassium iodide,pyridoxine hydrochloride,retinyl acetate,riboflavin,silica,sodium metavanadate,sodium molybdate,sodium selenite,stannous chloride,starch,talc,thiamine mononitrate,titanium dioxide (color),tricalcium phosphate,zinc oxide"
25,Proactive 65+,Tablets,$11.99,0.08,/store/c/one-a-day-proactive-65-/ID=prod6281751-product,150 ea ,4.5,197,"Calcium Carbonate,Magnesium Oxide,Microcrystalline Cellulose,Ascorbic Acid,Maltodextrin,Croscarmellose Sodium,Less than 2% of: Beta-Carotene,Biotin,Cholecalciferol,Chromium Chloride,Copper Sulfate,Cyanocobalamin,D-Calcium Pantothenate,FD&C Yellow #6 Aluminum Lake,Folic Acid,Gelatin,Hydroxypropyl Methylcellulose,Manganese Sulfate,Mica (color),Niacinamide,Polyethylene Glycol,Potassium Iodide,Pyridoxine Hydrochloride,Riboflavin,Silicon Dioxide,Sodium Selenite,Stearic Acid,Thiamine Mononitrate,Titanium Dioxide (color),Vitamin A Acetate,Zinc Oxide."
26,Iron-Free Multivitamin,na,$12.99,0.06,/store/c/walgreens-iron-free-multivitamin/ID=300432949-product,200 EA ,5.0,1,"Calcium Carbonate,Ascorbic Acid,dl-Alpha Tocopheryl Acetate,Sorbitol,Gelatin,Nicotinamide,Microcrystalline Cellulose,Starch,D-Calcium Pantothenate,Contains 2% or less of beta-carotene,carnauba wax,cholecalciferol,cyanocobalamin,FD&C blue no. 2 lake,FD&C red no. 40 lake,FD&C yellow no. 6 lake,folic acid,hydroxypropyl methylcellulose,magnesium stearate,polydextrose,polyethylene glycol,polyvinyl alcohol,pyridoxine hydrochloride,retinyl acetate,riboflavin,sodium starch glycolate,talc,thiamine mononitrate,titanium dioxide (color)"
27,Men's 50+ Healthy Advantage Multivitamin,Tablets,$16.99,0.17,/store/c/one-a-day-men's-50--healthy-advantage-multivitamin/ID=prod6332048-product,100 ea ,4.5,237,"Calcium Carbonate,Magnesium Oxide,Microcrystalline Cellulose,Ascorbic Acid,Croscarmellose Sodium,Zinc Oxide,dl-Alpha-Tocopheryl Acetate,Maltodextrin,Less than 2% of: Beta-Carotene,Biotin,Cholecalciferol,Chromium Chloride,Copper Sulfate,Cyanocobalamin,D-Calcium Pantothenate,FD&C Blue #1 Aluminum Lake,FD&C Blue #2 Aluminum Lake,Folic Acid,Gelatin,Hydroxypropyl Methylcellulose,Lycopene,Manganese Sulfate,Niacinamide,Phylloquinone,Polyethylene Glycol,Potassium Iodide,Pyridoxine Hydrochloride,Riboflavin,Silicon Dioxide,Sodium Molybdate,Sodium Selenite,Stearic Acid,Thiamine Mononitrate,Titanium Dioxide color,Vitamin A Acetate."
28,"Vitamin C Time Release Capsules, 500 mg",Capsules,$8.99,0.09,"/store/c/nature's-bounty-vitamin-c-time-release-capsules,-500-mg/ID=prod6110357-product",100 ea ,4.5,138,"Food Glaze,Gelatin,Magnesium Silicate,Sucrose,Corn Starch"
29,Women's Complete Multivitamin,Tablets,$12.99,0.13,/store/c/one-a-day-women's-complete-multivitamin/ID=300428558-product,100 ea ,0.0,na,"Calcium Carbonate,Microcrystalline Cellulose,Ascorbic Acid,Magnesium Oxide,Ferrous Fumarate,dl-Alpha-Tocopherol Acetate,Niacinamide,Gelatin,Maltodextrin,Less than 2% of:Biotin ,Cholecalciferol ,Color ,Copper Sulfate ,Corn Starch ,Croscarmellose Sodi"
30,"Men's Multivitamin Gummies Blue Raspberry, Cherry, Green Apple",Gummies,$11.99,0.15,"/store/c/one-a-day-vitacraves-men's-multivitamin-gummies-blue-raspberry,-cherry,-green-apple/ID=300413257-product",80 ea ,4.5,20,"Glucose Syrup,Sucrose,Gelatin,Water,Ascorbic Acid,Beeswax,Carnauba Wax,Choline Bitartrate,Citric Acid,D-Biotin,D-Calcium Pantothenate,dl-Alpha-Tocopheryl Acetate,FD&C Blue #1,FD&C Red #40,FD&C Yellow #5 (tartrazine),Folic Acid,Inositol,Neohesperidin,Potassium Iodide,Pyridoxine Hydrochloride,Sodium Selenate,Sucralose,Vegetable Oil (Palm),Vitamin A Acetate,Vitamin B12 (Cyanocobalamin),Vitamin D3 (Cholecalciferol),Zinc Sulfate,Artificial Flavors"
31,"Multivitamin + Omega-3 Gummies Strawberry, Lemon & Orange",na,$26.99,0.19,"/store/c/nature-made-multivitamin---omega-3-gummies-strawberry,-lemon-%26-orange/ID=prod6358201-product",140 ea ,4.5,156,"Glucose Syrup,Sugar,Water,Gelatin,Citric Acid,Pectin,Natural Flavors,Lactic Acid,Calcium Lactate,Colors Added (Including Carmine),Tocopherols"
32,"Women Complete Multivitamin & Multimineral Supplement Tablet, Age 50 Plus",Tablets,$21.99,9999999.0,"/store/c/centrum-silver-women-complete-multivitamin-%26-multimineral-supplement-tablet,-age-50-plus/ID=prod6245534-product",200 ea ,4.5,618,"Calcium Carbonate,Magnesium Oxide,Potassium Chloride,Ascorbic Acid (Vit. C),Dibasic Calcium Phosphate,Microcrystalline Cellulose,Maltodextrin,D Alpha Tocopherol Acetate (Vitamin E),Modified Corn Starch,Contains < 2% of: Beta-Carotene,BHT (to preserve freshness),Biotin,Blue 2 Lake,Calcium Pantothenate,Cholecalciferol (Vit. D3),Chromium Picolinate,Copper Sulfate,Corn Starch,Crospovidone,Cyanocobalamin (Vit. B12),Ferrous Fumarate,Folic Acid,Gelatin,Hydrogenated Palm Oil,Hypromellose,Lutein,Magnesium Stearate,Manganese Sulfate,Medium Chain Triglycerides,Niacinamide,Nickelous Sulfate,Phytonadione (Vitamin K1),Polydextrose,Potassium Iodide,Pyridoxine Hydrochloride (Vit. B6),Red 40 Lake,Riboflavin (Vit. B2),Silicon Dioxide,Sodium Ascorbate,Sodium Metavanadate,Sodium Molybdate,Sodium Selenate,Talc,Thiamine Mononitrate (Vit. B1),Titanium Dioxide,Tocopherols (to preserve freshness),Vitamin A Acetate,Zinc Oxide"
33,Women's Multi Gummies Blissful Berry,Chews,$14.49,0.16,/store/c/olly-women's-multi-gummies-blissful-berry/ID=prod6350179-product,90 ea ,4.5,3800,"Glucose Syrup,Beet Sugar,Water,Gelatin,Lactic Acid,Citric Acid,Natural Flavors,Coloringfrom carrot ,blueberry ,chokeberry juices,Pectin,Vegetable Oilcoconut ,canola,Carnauba Wax"
34,Women's Multivitamin Gummies Mixed Berry,Gummies,$11.99,0.08,/store/c/walgreens-women's-multivitamin-gummies-mixed-berry/ID=300408998-product,150 ea ,4.0,46,"Malt Syrup,Sugar,Tricalcium Phosphate,Purified Water USP. Contains 2% or less of annatto (color),ascorbic acid,biotin,black/purple carrot juice concentrate (color),boron citrate,caramel (color),carnauba wax,cholecalciferol,chromium picolinate,citric acid,cyanocobalamin,D-calcium pantothenate,dl-alpha tocopheryl acetate,folic acid,inositol Hexanicotinate,natural flavors (blackberry,raspberry,strawberry),pectin,potassium iodide,pyridoxine hydrochloride,retinyl palmitate,sodium citrate,sodium hexametaphosphate,zinc amino acid chelate"
35,Women's 50+ Healthy Advantage Multivitamin,Tablets,$11.99,0.18,/store/c/one-a-day-women's-50--healthy-advantage-multivitamin/ID=300430263-product,65 ea ,4.0,1,"Calcium Carbonate,Microcrystalline Cellulose,Ascorbic Acid,Magnesium Oxide,Maltodextrin,Zinc Oxide,dl-Alpha-TocopheryI Acetate,Less than 2% of: Artificial Flavor,Beta-Carotene,Biotin,Cholecalciferol,Chromium Chloride,Copper Sulfate,Croscarmellose Sodium,Cyanocobalamin,D-Calcium Pantothenate,FD&C Yellow #5 (tartrazine) Aluminum Lake,FD&C Yellow #6 Aluminum Lake,Folic Acid,Gelatin,Hydroxypropyl Methylcellulose,Manganese Sulfate,Niacinamide,Phylloquinone,Polyethylene Glycol,Potassium Iodide,Pyridoxine Hydrochloride,Riboflavin,Silicon Dioxide,Sodium Molybdate,Sodium Selenite,Stearic Acid,Thiamine Mononitrate,Titanium Dioxide (color),Vitamin A Acetate."
